name;0.4.26;0.4.26opt;0.5.17;0.5.17opt;0.6.12;0.6.12opt;0.7.6;0.7.6opt;0.8.24;0.8.24opt
int248divzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int248divzerose;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int248divzerosevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int248modzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
int248modzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int248modzerope;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int248modzeropevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int248truncinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int248truncvariable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
int248assignmentinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int248assignmentvariable;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int256ofpp;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;revert;revert
int256ofpe;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;revert;revert
int256ofadd;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;-57896044618658097711785492504343953926634992332820282019728792003956564819968;revert;revert
int256ofte;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int256ofmul;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
